Organization,Category,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Community Center (The Salvation Army of Santa Monica),Food Bank,"1533 4th St, Santa Monica",Los Angeles,CA,90401,34.014525,-118.49246,310-451-1358,Open,"food pantry, recreation, support network, one-on-one support, spiritual support",,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,12:00 PM - 20:00 PM,11:00 AM - 20:00 PM,Closed
Tuesday Food Pantry (Valley Food Bank),Food Bank,7722 Kester Avenue,Los Angeles,CA,91405,34.2109474,-118.45715,818-781-4156,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Wednesday Food Pantry 1 (Valley Food Bank),Food Bank,8767 Woodman Ave,Los Angeles,CA,91331,,,,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Wednesday Food Pantry 2 (Valley Food Bank),Food Bank,18120 Saticoy St,Los Angeles,CA,91335,,,,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Wednesday Food Pantry 3 (Valley Food Bank),Food Bank,16514 Nordhoff St,Los Angeles,CA,91343,,,818-894-9316,Open,food pantry,,10:00 AM - 23:00 PM,10:00 AM - 23:00 PM,10:00 AM - 23:00 PM,10:00 AM - 23:00 PM,10:00 AM - 23:00 PM,12:00 PM - 19:00 PM,Closed
Thursday Food Pantry 1 (Valley Food Bank),Food Bank,8856 Kester Avenue,Los Angeles,CA,91402,,,,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Thursday Food Pantry 2 (Valley Food Bank),Food Bank,13550 Herron St,Los Angeles,CA,91342,,,,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Friday Food Pantry (Valley Food Bank),Food Bank,"622 N. Maclay Ave, San Fernando",Los Angeles,CA,93140,,,818-403-6432,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Saturday Food Pantry (Valley Food Bank),Food Bank,9666 Foothill Place,Los Angeles,CA,91342,,,818-398-6232,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Emergency Assistance (East San Gabriel Valley Coalition for the Homeless (ESGVCH)),Food Bank,"15701 Hill Street, La Puente",Los Angeles,CA,91744,34.0263535,-117.95076,626-333-7204,Open,"help pay for housing, food pantry, meals, bus passes, personal hygiene, counseling, navigating the system, one-on-one support, advocacy & legal aid",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
