Organization,,Category,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Addiction Medicine And Health Advocates (Addiction Medicine and Health Advocates Inc),1,Food Bank,928 Market St.,Philadelphia,PA,19107,39.9513162,-75.1561975,215-923-4202,Open,,"Addiction & Recovery, Detox, Outpatient Treatment, Understand Mental Health, Group Therapy, Substance Abuse Counseling, Family Counseling, Mental Health Evaluation, Drug Testing, Navigating the System, Support Network, One-On-One Support",6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 11:45 AM,6:00 AM - 11:45 AM
"Addiction Medicine And Health Advocates (Addiction Medicine and Health Advocates, Inc. (AMHA))",1,Mental Health,928 Market St,Philadelphia,PA,19107,39.9513162,-75.1561975,215-923-4202,Open,,"Addiction & Recovery, Detox, Outpatient Treatment, Understand Mental Health, Group Therapy, Substance Abuse Counseling, Family Counseling, Mental Health Evaluation, Drug Testing, Navigating the System, Support Network, One-On-One Support, Outpatient, Treatment, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
"Adolescent Treatment Programming (Willpower, Options, Resources and Direction) (The Consortium Inc)",1,Mental Health,26 South 40th Street,Philadelphia,PA,19104,39.9565451,-75.2022776,267-233-5415,Open,,"Addiction and Recovery, Substance Abuse Counseling, Mental Health Care, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Adult Behavioral Health Inpatient Treatment (Friends Hospital),1,Mental Health,4641 Roosevelt Boulevard,Philadelphia,PA,19124,40.0261684,-75.1010134,215-831-2600,Open,,"Residential Treatment, Substance Abuse, Counseling Medical Care, Counseling, Residential Care, Outpatient, Treatment, Substance Abuse Counseling, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Adult Inpatient Mental Health Services (Belmont Behavioral Health System),1,Mental Health,4200 Monument Road,Philadelphia,PA,19131,39.9999795,-75.2143097,855-337-0572,Open,,"Psychiatric Emergency Services, Addiction & Recovery, Substance Abuse Counseling, Mental Health Care, Counseling, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Adult Outpatient Services (Hispanic Community Counseling Services),1,Mental Health,3221 Kensington Avenue,Philadelphia,PA,19124,39.9967634,-75.1124163,215-425-6900,Open,,"Substance Abuse Counseling, Group Therapy, Family Counseling, Individual Counseling, Medications for Mental Health, Mental Health Evaluation, Virtual Support, Outpatient, Treatment",8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 6:00 PM,Closed,Closed
Andorra Library,1,Library,705 East Cathedral Road,Philadelphia,PA,19128,40.06439275,-75.23825024,(215) 685-2552,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Blanche A. Nixon/Cobbs Creek Library,1,Library,5800 Cobbs Creek Parkway,Philadelphia,PA,19143,39.9457351,-75.2415097,(215) 685-1973,Open,"Public Computers, Wi-Fi, Workforce Development Support.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Border Shelter Network and Call Center (Church World Service Inc),1,Food Bank,"308 East King Street, Lancaster",Philadelphia,PA,17602,40.0383433,-76.2988403,717-381-2890,Open,"Temporary Shelter, Meals, Clothing, Personal Hygiene, Navigating the System, Support Network",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Bushrod Library,1,Library,6304 Castor Avenue,Philadelphia,PA,19149,40.0385948,-75.0785763,(215) 685-1471,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
