Library Name,Street Address,City,State,Zip Code,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Parkway Central Library,1901 Vine Street,Philadelphia,PA,19103,(215) 686-5322,Open,"Research Library, Special Collections, Tours, Author Events, Exhibitions, Study Rooms, Scanners, Wi-Fi.","Printing, Copying",9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed
Andorra Library,705 East Cathedral Road,Philadelphia,PA,19128,(215) 685-2552,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Blanche A. Nixon/Cobbs Creek Library,5800 Cobbs Creek Parkway,Philadelphia,PA,19143,(215) 685-1973,Open,"Public Computers, Wi-Fi, Workforce Development Support.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Bushrod Library,6304 Castor Avenue,Philadelphia,PA,19149,(215) 685-1471,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Bustleton Library,10199 Bustleton Avenue,Philadelphia,PA,19116,(215) 685-0472,Limited,"Public Computers, Wi-Fi, Intermediate English Classes.","Printing, Copying",Closed,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Cecil B. Moore Library,2320 Cecil B. Moore Avenue,Philadelphia,PA,19121,(215) 685-2766,Open,"Public Computers, Wi-Fi, Meeting Rooms.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Charles L. Durham Library,3320 Haverford Avenue,Philadelphia,PA,19104,(215) 685-7436,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Charles Santore Library,932 South 7th Street,Philadelphia,PA,19147,(215) 686-1766,Open,"Public Computers, Wi-Fi, Story Times, GED & ESL Classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Chestnut Hill Library,8711 Germantown Avenue,Philadelphia,PA,19118,(215) 685-9290,Open,"Public Computers, Wi-Fi, Meeting Room.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
David Cohen Ogontz Library,6017 Ogontz Avenue,Philadelphia,PA,19141,(215) 685-3566,Open,"Public Computers, Wi-Fi, Chess Club.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Dwight Evans Library of West Oak Lane,2000 East Washington Lane,Philadelphia,PA,19138,(215) 685-2843,Open,"Computer Labs, Meeting Spaces, Computer/Sketch/Health Classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Eastwick Library,2851 Island Avenue,Philadelphia,PA,19153,(215) 685-4170,Limited,"Public Computers, Wi-Fi, Story Time, After-school Programs.","Printing, Copying, Scanning",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Falls of Schuylkill Library,3501 Midvale Avenue,Philadelphia,PA,19129,(215) 685-2093,Limited,"Author Talks, Workshops, Story Times.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Fishtown Community Library,1217 East Montgomery Avenue,Philadelphia,PA,19125,(215) 685-9990,Temporarily Closed,"Public Computers, Wi-Fi, Cooking Classes, Adult Education.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
